Recd#,File_Name,EQID,SN,EQ#,R#,ST,FM,Mw,fDepth,SDist,Vdist,Rjb,Rx,SC,TVS30,Ts1,ImpR1,Ts2,ImpR2,Sa(gal),NWiD,Sa(g),staLon,staLat,ELon,ELat
9146,CHBH141103191856,201103191856E,CHBH14,218,1,1,3,5.86,5.4,119,0,118.9,1000,4,0.598,1.002,5.64,0.976,5.64,4.19E+01,Kik,4.27E-02,140.823,35.7342,140.572,36.784
9147,FKS0011103191856,201103191856E,FKS001,218,2,1,3,5.86,5.4,116.7,0,116.6,1000,2,0.352,0.396,3.54,0.275,4.64,4.95E+01,Knet,5.05E-02,140.9196,37.7949,140.572,36.784
9148,FKS0021103191856,201103191856E,FKS002,218,3,1,3,5.86,5.4,118.1,25.6,118,1000,1,0.229,0.194,3.7,0.121,5.62,4.18E+01,Knet,4.26E-02,140.6013,37.8449,140.572,36.784
9149,FKS0041103191856,201103191856E,FKS004,218,4,1,3,5.86,5.4,100.8,0,100.7,1000,2,0.274,0.26,3.7,0.165,5.62,6.82E+01,Knet,6.95E-02,140.7346,37.6799,140.572,36.784
9150,FKS0051103191856,201103191856E,FKS005,218,5,1,3,5.86,5.4,102,0,101.9,1000,1,0.228,0.193,3.7,0.12,5.62,4.57E+01,Knet,4.66E-02,140.9849,37.6385,140.572,36.784
9151,FKS0061103191856,201103191856E,FKS006,218,6,1,3,5.86,5.4,81.8,0,81.7,1000,2,0.336,0.35,3.54,0.243,4.64,1.43E+02,Knet,1.45E-01,140.7588,37.5031,140.572,36.784
9152,FKS0081103191856,201103191856E,FKS008,218,7,1,3,5.86,5.4,72.7,0,72.5,1000,2,0.265,0.247,3.7,0.157,5.62,7.50E+01,Knet,7.64E-02,140.5668,37.4363,140.572,36.784
9153,FKS0091103191856,201103191856E,FKS009,218,8,1,3,5.86,5.4,55.5,0,55.2,1000,2,0.287,0.28,3.7,0.178,5.62,4.35E+01,Knet,4.43E-02,140.6349,37.2778,140.572,36.784
9154,FKS0101103191856,201103191856E,FKS010,218,9,1,3,5.86,5.4,63.2,0,62.9,1000,2,0.259,0.238,3.7,0.15,5.62,1.10E+02,Knet,1.12E-01,141.0016,37.2342,140.572,36.784
9155,FKS0111103191856,201103191856E,FKS011,218,10,1,3,5.86,5.4,45.4,0,45.1,1000,2,0.285,0.277,3.7,0.176,5.62,5.06E+01,Knet,5.15E-02,140.9035,37.0911,140.572,36.784
9156,FKS0141103191856,201103191856E,FKS014,218,11,1,3,5.86,5.4,18.7,0,17.9,1000,1,0.215,0.133,3.7,0.108,5.62,1.00E+02,Knet,1.02E-01,140.4166,36.8864,140.572,36.784
9157,FKS0151103191856,201103191856E,FKS015,218,12,1,3,5.86,5.4,32,0,31.6,1000,1,0.192,0.141,3.7,0.085,5.62,6.09E+01,Knet,6.21E-02,140.3775,37.0217,140.572,36.784
9158,FKS0191103191856,201103191856E,FKS019,218,13,1,3,5.86,5.4,92,35.3,91.9,1000,2,0.314,0.326,3.54,0.225,4.64,1.29E+02,Knet,1.31E-01,140.4368,37.603,140.572,36.784
9159,FKS0251103191856,201103191856E,FKS025,218,14,1,3,5.86,5.4,83.6,48.9,83.4,1000,1,0.206,0.161,3.7,0.098,5.62,2.29E+01,Knet,2.33E-02,139.9,37.3077,140.572,36.784
9160,FKS0271103191856,201103191856E,FKS027,218,15,1,3,5.86,5.4,85.5,51.9,85.4,1000,1,0.192,0.14,3.7,0.084,5.62,1.73E+01,Knet,1.76E-02,139.6808,37.07,140.572,36.784
