eqid,eqX,eqY,zoneUTM,dc_0_mean,dc_1e_mean,dc_0_med,dc_1e_med,dc_0_unc,dc_1e_unc
1,-392.9771644302064,3569.6159903640432,54.0,-0.09770436563816352,-0.17427895322144682,-0.09962794079207107,-0.16451796252375092,0.04049830134479785,0.15134194734712314
2,-417.402097908243,3562.456341390341,54.0,-0.09770436563816352,-0.20975936763447459,-0.09962794079207107,-0.19908052660185327,0.04049830134479785,0.1561890079280801
3,-521.8490863607117,3587.7366019941664,54.0,-0.09770436563816352,-0.03735153214021624,-0.09962794079207107,-0.03809999795325872,0.04049830134479785,0.12682519898602304
4,-516.1802860657565,3584.79723067657,54.0,-0.09770436563816352,-0.04937939874736066,-0.09962794079207107,-0.04611164622257497,0.04049830134479785,0.1285225606015217
5,-366.6419945922364,3850.319998086217,54.0,-0.09770436563816352,-0.016067620055770844,-0.09962794079207107,-0.01449924376534385,0.04049830134479785,0.14285815848394032
6,296.61979068975745,4128.179301772369,54.0,-0.09770436563816352,0.015007385551189805,-0.09962794079207107,0.014176403307170807,0.04049830134479785,0.12712479876545613
7,83.87192532983795,3901.35139849166,54.0,-0.09770436563816352,-0.02937391226840352,-0.09962794079207107,-0.029792372811812858,0.04049830134479785,0.14357081567151364
8,328.01618259779593,3866.898866582476,54.0,-0.09770436563816352,-0.1326217694724706,-0.09962794079207107,-0.12444825284299188,0.04049830134479785,0.13996528517102827
9,202.24335058105044,4025.5497211369657,54.0,-0.09770436563816352,-0.11209825857926864,-0.09962794079207107,-0.10940427779645234,0.04049830134479785,0.1420843311437142
10,477.9085898257795,4404.037580305916,54.0,-0.09770436563816352,-0.10764141162368546,-0.09962794079207107,-0.10086523634131529,0.04049830134479785,0.14945895794189976
11,-420.0218842901478,3511.5314261996805,54.0,-0.09770436563816352,-0.14213660166508288,-0.09962794079207107,-0.1341192000823844,0.04049830134479785,0.1521963829133614
12,404.480912881415,4338.111065579622,54.0,-0.09770436563816352,-0.026605030623511525,-0.09962794079207107,-0.01928319114511583,0.04049830134479785,0.13944495163963525
13,897.2500114832707,4778.926785247212,54.0,-0.09770436563816352,-0.019652257487589513,-0.09962794079207107,-0.014629512231974735,0.04049830134479785,0.13713557911036584
14,452.7920442390795,4037.3186893039,54.0,-0.09770436563816352,0.10538142560292893,-0.09962794079207107,0.10787642696247415,0.04049830134479785,0.1387174398833777
15,9.936533141897351,4088.226647492491,54.0,-0.09770436563816352,0.1770965927448075,-0.09962794079207107,0.16769574049577318,0.04049830134479785,0.1643115857288304
16,331.5278665142546,3788.394860859632,54.0,-0.09770436563816352,-0.08099070174989922,-0.09962794079207107,-0.07348573907249553,0.04049830134479785,0.12758271164869345
17,339.1199783648173,3779.719741822334,54.0,-0.09770436563816352,-0.0663641906627055,-0.09962794079207107,-0.05838231537095451,0.04049830134479785,0.128069264413895
18,339.7794838460253,3807.442051326752,54.0,-0.09770436563816352,-0.12196089166009015,-0.09962794079207107,-0.11189819989706648,0.04049830134479785,0.13619080694973226
19,495.25662427566033,4044.955607804362,54.0,-0.09770436563816352,0.09681438844732511,-0.09962794079207107,0.0961036303956474,0.04049830134479785,0.11601286606342322
