rsn,eqid,ssn,eqX,eqY,staX,staY,zoneUTM,dc_0_mean,Lc_ca_mean,dc_0_med,Lc_ca_med,dc_0_unc,Lc_ca_unc
1,38,0,292.2609771757026,3909.816818957042,128.51496790687293,3913.739001202812,54.0,0.08206859886326451,-1.4232080437422694,0.08209464319855528,-1.4181747177336697,0.017397015572304504,0.3420231217621447
2,25,0,264.330530090726,3842.899620060988,128.51496790687293,3913.739001202812,54.0,0.08206859886326451,-1.3069075708174345,0.08209464319855528,-1.3071564165208214,0.017397015572304504,0.36097426645853653
3,53,1,275.4374088407163,3843.51011953928,154.50504546553583,3901.5896026139903,54.0,0.08206859886326451,-1.0736960696945872,0.08209464319855528,-1.0730684744705137,0.017397015572304504,0.30301927872125195
4,38,1,292.2609771757026,3909.816818957042,154.50504546553583,3901.5896026139903,54.0,0.08206859886326451,-1.2264380292326866,0.08209464319855528,-1.2222301122759733,0.017397015572304504,0.2778760882640026
5,25,1,264.330530090726,3842.899620060988,154.50504546553583,3901.5896026139903,54.0,0.08206859886326451,-1.076257164033042,0.08209464319855528,-1.07702251431286,0.017397015572304504,0.28834136582605285
6,38,2,292.2609771757026,3909.816818957042,182.17667623346983,3902.5741380529994,54.0,0.08206859886326451,-1.0288714126524312,0.08209464319855528,-1.0268502063216678,0.017397015572304504,0.2162206199910037
7,28,2,181.0656949265822,4007.0767963031503,182.17667623346983,3902.5741380529994,54.0,0.08206859886326451,-1.0510739117441088,0.08209464319855528,-1.0517941819044827,0.017397015572304504,0.22655859847429502
8,25,2,264.330530090726,3842.899620060988,182.17667623346983,3902.5741380529994,54.0,0.08206859886326451,-0.7970732400103092,0.08209464319855528,-0.7969620892239039,0.017397015572304504,0.2207871116678537
9,53,2,275.4374088407163,3843.51011953928,182.17667623346983,3902.5741380529994,54.0,0.08206859886326451,-0.7909951168186922,0.08209464319855528,-0.789464520877939,0.017397015572304504,0.23416135433942117
10,38,3,292.2609771757026,3909.816818957042,187.83731878982752,3889.567114997888,54.0,0.08206859886326451,-0.8700283962453988,0.08209464319855528,-0.8696128269011176,0.017397015572304504,0.20920114838248313
11,25,3,264.330530090726,3842.899620060988,187.83731878982752,3889.567114997888,54.0,0.08206859886326451,-0.7638430607530435,0.08209464319855528,-0.7640500267295459,0.017397015572304504,0.198519873411049
12,25,4,264.330530090726,3842.899620060988,143.10717359488643,3838.030342010029,54.0,0.08206859886326451,-1.319675541731806,0.08209464319855528,-1.3208752464107218,0.017397015572304504,0.31170480578679305
13,21,5,103.34699834515416,4117.964937310308,139.77999744006962,3872.595402570746,54.0,0.08206859886326451,-1.8751892532374042,0.08209464319855528,-1.8727422355546093,0.017397015572304504,0.6026950826122056
14,18,5,97.03457460542091,3675.453369364249,139.77999744006962,3872.595402570746,54.0,0.08206859886326451,-1.2803492472818685,0.08209464319855528,-1.2683778904120153,0.017397015572304504,0.5494123536489613
15,18,6,81.55980152094574,3678.88477611573,123.08297592290974,3868.4555154718055,54.0,0.08206859886326451,-1.2015288163237767,0.08209464319855528,-1.184967384486819,0.017397015572304504,0.5331317541124841
16,25,6,264.330530090726,3842.899620060988,123.08297592290974,3868.4555154718055,54.0,0.08206859886326451,-1.4596151828570525,0.08209464319855528,-1.4575190589478293,0.017397015572304504,0.3510240268093133
17,21,6,103.34699834515416,4117.964937310308,123.08297592290974,3868.4555154718055,54.0,0.08206859886326451,-1.999898676599958,0.08209464319855528,-1.9944312906869328,0.017397015572304504,0.6241057263288124
18,38,7,292.2609771757026,3909.816818957042,137.03362976716522,3837.5668472098328,54.0,0.08206859886326451,-1.3779771587018923,0.08209464319855528,-1.378261305546279,0.017397015572304504,0.37008194799090344
19,25,7,264.330530090726,3842.899620060988,137.03362976716522,3837.5668472098328,54.0,0.08206859886326451,-1.3618108718432416,0.08209464319855528,-1.3629847519233165,0.017397015572304504,0.3286773601461244
20,18,7,101.67141511603498,3674.484805454924,137.03362976716522,3837.5668472098328,54.0,0.08206859886326451,-1.0010517404718615,0.08209464319855528,-0.9893508288776148,0.017397015572304504,0.4545387446465835
