cell_name,cell_i,cellX,cellY,zoneUTM,c_a_erg,c_ca_mean,c_ca_med,c_ca_unc
c.285,285,-587.5,3737.5,54.0,-0.01136,-0.011205747055906465,-0.01115164932548246,0.004195435778154638
c.346,346,-562.5,3562.5,54.0,-0.01136,-0.012923693663650886,-0.012945880190032288,0.0037832044541441074
c.353,353,-562.5,3737.5,54.0,-0.01136,-0.011347459860798673,-0.011249330745593275,0.003969967570237912
c.354,354,-562.5,3762.5,54.0,-0.01136,-0.011511058898197646,-0.011489590674014801,0.003958078139941604
c.414,414,-537.5,3562.5,54.0,-0.01136,-0.01196187084350407,-0.012220951094966072,0.004382652382335017
c.415,415,-537.5,3587.5,54.0,-0.01136,-0.012999390173236789,-0.013215312703219054,0.0039270217992517465
c.416,416,-537.5,3612.5,54.0,-0.01136,-0.013559020057268884,-0.013460787881855901,0.0038463319631145665
c.420,420,-537.5,3712.5,54.0,-0.01136,-0.012778174586973777,-0.012801531895576305,0.0037756896585122725
c.421,421,-537.5,3737.5,54.0,-0.01136,-0.012997163556648731,-0.012992251251687351,0.003818794065897179
c.422,422,-537.5,3762.5,54.0,-0.01136,-0.011356651446207835,-0.011418432459657495,0.00357782311872107
c.480,480,-512.5,3512.5,54.0,-0.01136,-0.011574582941853432,-0.011635751964470316,0.003916002393365085
c.481,481,-512.5,3537.5,54.0,-0.01136,-0.012013734140811683,-0.011994954613118622,0.003387528311081697
c.482,482,-512.5,3562.5,54.0,-0.01136,-0.01183799594630252,-0.01168637637270701,0.003479884194832902
c.483,483,-512.5,3587.5,54.0,-0.01136,-0.01084368384267873,-0.010824577233621499,0.003196758285743318
c.484,484,-512.5,3612.5,54.0,-0.01136,-0.012801654827230587,-0.01284633605143701,0.0029759035162982366
c.485,485,-512.5,3637.5,54.0,-0.01136,-0.013995661903680616,-0.014108551992770769,0.003409566071789521
c.486,486,-512.5,3662.5,54.0,-0.01136,-0.014153957489046994,-0.014009920548570153,0.0038456692707494926
c.487,487,-512.5,3687.5,54.0,-0.01136,-0.012516228572159015,-0.012691763296718192,0.004341104367970249
c.488,488,-512.5,3712.5,54.0,-0.01136,-0.01189657731964488,-0.01197782648060283,0.0038195367242217946
c.489,489,-512.5,3737.5,54.0,-0.01136,-0.013692759028508661,-0.01388339146519253,0.003608715349579336
c.490,490,-512.5,3762.5,54.0,-0.01136,-0.01255362383425152,-0.012537204098691588,0.0033056395683186274
