cellid,cellname,q1X,q1Y,q1Z,q2X,q2Y,q2Z,q3X,q3Y,q3Z,q4X,q4Y,q4Z,q5X,q5Y,q5Z,q6X,q6Y,q6Z,q7X,q7Y,q7Z,q8X,q8Y,q8Z,mptX,mptY,mptZ,UTMzone,q1Lat,q1Lon,q2Lat,q2Lon,q3Lat,q3Lon,q4Lat,q4Lon,q5Lat,q5Lon,q6Lat,q6Lon,q7Lat,q7Lon,q8Lat,q8Lon,mptLat,mptLon
0,c.0,-700.0,3400.0,-70.0,-675.0,3400.0,-70.0,-700.0,3425.0,-70.0,-675.0,3425.0,-70.0,-700.0,3400.0,0.0,-675.0,3400.0,0.0,-700.0,3425.0,0.0,-675.0,3425.0,0.0,-687.5,3412.5,-35.0,54,30.138154352830938,128.58908102397433,30.162265745872755,128.84271461196784,30.3584572289573,128.56091321808208,30.382781569775428,128.81508695934477,30.138154352830938,128.58908102397433,30.162265745872755,128.84271461196784,30.3584572289573,128.56091321808208,30.382781569775428,128.81508695934477,30.26047793252871,128.7019489528715
1,c.1,-700.0,3425.0,-70.0,-675.0,3425.0,-70.0,-700.0,3450.0,-70.0,-675.0,3450.0,-70.0,-700.0,3425.0,0.0,-675.0,3425.0,0.0,-700.0,3450.0,0.0,-675.0,3450.0,0.0,-687.5,3437.5,-35.0,54,30.3584572289573,128.56091321808208,30.382781569775428,128.81508695934477,30.578728743207492,128.53243255843017,30.60326694489683,128.7871522096233,30.3584572289573,128.56091321808208,30.382781569775428,128.81508695934477,30.578728743207492,128.53243255843017,30.60326694489683,128.7871522096233,30.48087238270114,128.67389623589128
2,c.2,-700.0,3450.0,-70.0,-675.0,3450.0,-70.0,-700.0,3475.0,-70.0,-675.0,3475.0,-70.0,-700.0,3450.0,0.0,-675.0,3450.0,0.0,-700.0,3475.0,0.0,-675.0,3475.0,0.0,-687.5,3462.5,-35.0,54,30.578728743207492,128.53243255843017,30.60326694489683,128.7871522096233,30.79896854560891,128.50363612802735,30.82372153331061,128.758907493108,30.578728743207492,128.53243255843017,30.60326694489683,128.7871522096233,30.79896854560891,128.50363612802735,30.82372153331061,128.758907493108,30.70123575787866,128.64553209681017
3,c.3,-700.0,3475.0,-70.0,-675.0,3475.0,-70.0,-700.0,3500.0,-70.0,-675.0,3500.0,-70.0,-700.0,3475.0,0.0,-675.0,3475.0,0.0,-700.0,3500.0,0.0,-675.0,3500.0,0.0,-687.5,3487.5,-35.0,54,30.79896854560891,128.50363612802735,30.82372153331061,128.758907493108,31.01917628237985,128.4745209631905,31.044144993436632,128.7303498940795,30.79896854560891,128.50363612802735,30.82372153331061,128.758907493108,31.01917628237985,128.4745209631905,31.044144993436632,128.7303498940795,30.92156771227702,128.6168536191059
4,c.4,-700.0,3500.0,-70.0,-675.0,3500.0,-70.0,-700.0,3525.0,-70.0,-675.0,3525.0,-70.0,-700.0,3500.0,0.0,-675.0,3500.0,0.0,-700.0,3525.0,0.0,-675.0,3525.0,0.0,-687.5,3512.5,-35.0,54,31.01917628237985,128.4745209631905,31.044144993436632,128.7303498940795,31.239351595849147,128.44508405274033,31.2645369799634,128.70147644999892,31.01917628237985,128.4745209631905,31.044144993436632,128.7303498940795,31.239351595849147,128.44508405274033,31.2645369799634,128.70147644999892,31.1418678963415,128.58785783949824
5,c.5,-700.0,3525.0,-70.0,-675.0,3525.0,-70.0,-700.0,3550.0,-70.0,-675.0,3550.0,-70.0,-700.0,3525.0,0.0,-675.0,3525.0,0.0,-700.0,3550.0,0.0,-675.0,3550.0,0.0,-687.5,3537.5,-35.0,54,31.239351595849147,128.44508405274033,31.2645369799634,128.70147644999892,31.45949412437391,128.41532233717942,31.484897143768755,128.67228415069516,31.239351595849147,128.44508405274033,31.2645369799634,128.70147644999892,31.45949412437391,128.41532233717942,31.484897143768755,128.67228415069516,31.362135956666954,128.5585417471406
6,c.6,-700.0,3550.0,-70.0,-675.0,3550.0,-70.0,-700.0,3575.0,-70.0,-675.0,3575.0,-70.0,-700.0,3550.0,0.0,-675.0,3550.0,0.0,-700.0,3575.0,0.0,-675.0,3575.0,0.0,-687.5,3562.5,-35.0,54,31.45949412437391,128.41532233717942,31.484897143768755,128.67228415069516,31.67960350225553,128.38523270785225,31.705225131838684,128.64276993753433,31.45949412437391,128.41532233717942,31.484897143768755,128.67228415069516,31.67960350225553,128.38523270785225,31.705225131838684,128.64276993753433,31.58237153591618,128.52890228279344
7,c.7,-700.0,3575.0,-70.0,-675.0,3575.0,-70.0,-700.0,3600.0,-70.0,-675.0,3600.0,-70.0,-700.0,3575.0,0.0,-675.0,3575.0,0.0,-700.0,3600.0,0.0,-675.0,3600.0,0.0,-687.5,3587.5,-35.0,54,31.67960350225553,128.38523270785225,31.705225131838684,128.64276993753433,31.89967935965378,128.3548120060868,31.92552058718453,128.61293070257028,31.67960350225553,128.38523270785225,31.705225131838684,128.64276993753433,31.89967935965378,128.3548120060868,31.92552058718453,128.61293070257028,31.802574272736457,128.49893633797987
8,c.8,-700.0,3600.0,-70.0,-675.0,3600.0,-70.0,-700.0,3625.0,-70.0,-675.0,3625.0,-70.0,-700.0,3600.0,0.0,-675.0,3600.0,0.0,-700.0,3625.0,0.0,-675.0,3625.0,0.0,-687.5,3612.5,-35.0,54,31.89967935965378,128.3548120060868,31.92552058718453,128.61293070257028,32.119721322498904,128.3240570223168,32.14578314875804,128.5827632876772,31.89967935965378,128.3548120060868,31.92552058718453,128.61293070257028,32.119721322498904,128.3240570223168,32.14578314875804,128.5827632876772,32.02274380167416,128.46864075412233
9,c.9,-700.0,3625.0,-70.0,-675.0,3625.0,-70.0,-700.0,3650.0,-70.0,-675.0,3650.0,-70.0,-700.0,3625.0,0.0,-675.0,3625.0,0.0,-700.0,3650.0,0.0,-675.0,3650.0,0.0,-687.5,3637.5,-35.0,54,32.119721322498904,128.3240570223168,32.14578314875804,128.5827632876772,32.339729012401854,128.29296449518506,32.36601245136476,128.55226448366196,32.119721322498904,128.3240570223168,32.14578314875804,128.5827632876772,32.339729012401854,128.29296449518506,32.36601245136476,128.55226448366196,32.242879753087436,128.4380123216602
