ssn,staX,staY,zoneUTM,dc_0_mean,dc_1as_mean,dc_0_med,dc_1as_med,dc_0_unc,dc_1as_unc
1,709.3156474961163,4899.047215952385,54.0,-0.06856225267773834,-0.2136000948725217,-0.06738430553242146,-0.21170557061150602,0.03263853078307237,0.15512691511242854
2,667.6752331939205,4857.261376584086,54.0,-0.06856225267773834,-0.0897349318465996,-0.06738430553242146,-0.09260168301297335,0.03263853078307237,0.1481923956253042
3,819.8396797384605,4886.73951333974,54.0,-0.06856225267773834,-0.026923548180896054,-0.06738430553242146,-0.02749172784923945,0.03263853078307237,0.12751748947569524
4,805.6140450425772,4870.803030726163,54.0,-0.06856225267773834,0.02373559921636238,-0.06738430553242146,0.02544191367243663,0.03263853078307237,0.1423479763859225
5,735.8336122292334,4885.121782214496,54.0,-0.06856225267773834,-0.24763659714041877,-0.06738430553242146,-0.2480005048078609,0.03263853078307237,0.15113079973547283
6,756.232407030068,4867.317475790108,54.0,-0.06856225267773834,-0.1103903059549491,-0.06738430553242146,-0.10314853542965338,0.03263853078307237,0.13945067930963642
7,777.8676705895632,4861.758225558903,54.0,-0.06856225267773834,0.014297415104407593,-0.06738430553242146,0.014187128306155856,0.03263853078307237,0.14158287249084717
8,697.39154249737,4846.12742864999,54.0,-0.06856225267773834,-0.17263378432430818,-0.06738430553242146,-0.16915868638503684,0.03263853078307237,0.13028972393095933
9,756.4256578398193,4846.011984473181,54.0,-0.06856225267773834,-0.10774540455681039,-0.06738430553242146,-0.1136186983112798,0.03263853078307237,0.1367251793252127
10,702.4690973001353,4834.41795369018,54.0,-0.06856225267773834,-0.1943203624783532,-0.06738430553242146,-0.19477745642524127,0.03263853078307237,0.1309013138426442
11,128.51496790687293,3913.739001202812,54.0,-0.06856225267773834,0.047783422423335824,-0.06738430553242146,0.043236953368511355,0.03263853078307237,0.1326011458305386
12,154.50504546553583,3901.5896026139903,54.0,-0.06856225267773834,0.11541414234248566,-0.06738430553242146,0.11672216682499467,0.03263853078307237,0.1296856908097358
13,182.17667623346983,3902.5741380529994,54.0,-0.06856225267773834,0.23890669035529502,-0.06738430553242146,0.24152028704030887,0.03263853078307237,0.11779590966134194
14,166.08076979623368,3894.653559544712,54.0,-0.06856225267773834,0.17913303221126362,-0.06738430553242146,0.17868266398068566,0.03263853078307237,0.1115306448575137
15,187.83731878982752,3889.567114997888,54.0,-0.06856225267773834,0.11303057224583424,-0.06738430553242146,0.11083974279988601,0.03263853078307237,0.12703046410211588
16,143.10717359488643,3838.030342010029,54.0,-0.06856225267773834,-0.14510646935378976,-0.06738430553242146,-0.1408947101497542,0.03263853078307237,0.14049480404874906
17,139.77999744006962,3872.595402570746,54.0,-0.06856225267773834,0.2268771502844065,-0.06738430553242146,0.2230095727542738,0.03263853078307237,0.1353921266002426
18,123.08297592290974,3868.4555154718055,54.0,-0.06856225267773834,0.19930568549066482,-0.06738430553242146,0.19802589527125206,0.03263853078307237,0.14686917055929669
19,137.03362976716522,3837.5668472098328,54.0,-0.06856225267773834,-0.09226860690503495,-0.06738430553242146,-0.09132446887167593,0.03263853078307237,0.14129569973460124
20,172.65571807246388,3903.30306557218,54.0,-0.06856225267773834,0.13533562046837874,-0.06738430553242146,0.1317985494359054,0.03263853078307237,0.11792640228830646
21,161.89050717369193,3870.304886320098,54.0,-0.06856225267773834,0.1298033469197297,-0.06738430553242146,0.12596842164193733,0.03263853078307237,0.12272696728977768
22,169.18230311230798,3841.7481574939534,54.0,-0.06856225267773834,-0.18317474804704864,-0.06738430553242146,-0.18798617704345816,0.03263853078307237,0.13591404669873763
23,191.90109938987828,3878.2746935665655,54.0,-0.06856225267773834,-0.09573650253313983,-0.06738430553242146,-0.09129687200575143,0.03263853078307237,0.12562106890179447
24,141.44423435963492,3914.1041134189504,54.0,-0.06856225267773834,0.04994583719499944,-0.06738430553242146,0.052945644426783636,0.03263853078307237,0.13247890979599042
