Period,c1,c2,ccr,pcr,dcr,FCRN,FUMRV,FUMNS,bcr,gcr,gUM,gcrN,gcrL,ecr,eum,ecrV,gamma,b1L,b2L,b3L,fai,tau,sigmaT,fs2s,Tb,b1,beta,TSL,theta1,theta2,b1NL,b2NL,b3NL,b4NL,b0NL,theta
0.005,-3.224,0.9,1.11,-0.04357,0.2,0.3128,-0.2024,0.2519,0.00907,-1.32364,-1.16315,-0.49919,1.26564,-0.00746,-0.01035,-0.00343,-9.32215,1.1843,2.5497,114.55293,0.556,0.398,0.683,0.346,0.2087,-1.3852,0.181,0.0216,-1.2297,-0.0652,42.2317,28.1078,75.604,-0.0836,4.89E-03,50
0.01,-3.357,0.909,1.10917,-0.04298,0.2,0.3157,-0.2143,0.2585,0.00907,-1.33279,-1.1705,-0.48684,1.24149,-0.00724,-0.0101,-0.00342,-9.21553,1.14684,2.51388,57.27646,0.555,0.401,0.685,0.346,0.2089,-1.3858,0.181,0.0216,-1.2257,-0.0652,42.1916,27.8957,37.8026,-0.0846,6.17E-04,50
0.02,-3.552,0.927,1.10897,-0.04043,0.2,0.3185,-0.2213,0.2607,0.00907,-1.34808,-1.17799,-0.44645,1.19894,-0.00708,-0.01003,-0.00341,-9.04418,0.94111,2.02518,26.85184,0.555,0.404,0.686,0.341,0.2118,-1.3921,0.182,0.021,-1.2158,-0.0661,41.8253,27.5992,18.0864,-0.0919,4.34E-03,50
0.03,-3.64,0.937,1.10455,-0.02655,0.2,0.3202,-0.2231,0.2603,0.00907,-1.34252,-1.16425,-0.42175,1.16954,-0.0074,-0.01043,-0.00344,-8.81459,0.52417,1.04783,15.27266,0.554,0.418,0.694,0.349,0.2273,-1.4231,0.184,0.0204,-1.1945,-0.0677,39.2595,26.6351,10.702,-0.0992,1.14E-02,50
0.04,-3.758,0.944,1.09436,-0.01243,0.2,0.3214,-0.2233,0.2589,0.00907,-1.29948,-1.12704,-0.42022,1.14213,-0.00815,-0.01107,-0.00349,-8.56544,0.24108,0.54032,9.63841,0.56,0.447,0.716,0.363,0.2526,-1.4457,0.195,0.02,-1.2096,-0.0668,33.4857,23.4464,6.7322,-0.1064,1.98E-02,50
0.05,-3.826,0.948,1.0831,-0.00333,0.2,0.3224,-0.223,0.2576,0.00907,-1.22054,-1.05536,-0.43576,1.14137,-0.0094,-0.01175,-0.00355,-8.46094,0.10961,0.32934,6.74351,0.566,0.472,0.737,0.376,0.2828,-1.4386,0.221,0.0196,-1.2719,-0.0621,24.6482,17.3242,4.5409,-0.1103,2.11E-02,50
0.06,-3.89,0.956,1.07274,-0.00029,0.2,0.324,-0.2223,0.2561,0.00907,-1.15256,-1.00231,-0.46789,1.15749,-0.01027,-0.01226,-0.00364,-8.39211,0.05976,0.24284,5.14011,0.579,0.488,0.757,0.4,0.3147,-1.4231,0.254,0.0197,-1.3681,-0.0569,17.7458,12.244,3.3596,-0.1094,1.59E-02,50
0.07,-3.965,0.967,1.06443,-0.00118,0.2,0.3269,-0.2215,0.2546,0.00907,-1.11006,-0.96366,-0.5026,1.18679,-0.01082,-0.0126,-0.00373,-8.37335,0.04613,0.23629,4.17571,0.602,0.499,0.782,0.42,0.3439,-1.4074,0.287,0.021,-1.4748,-0.0539,13.4607,9.0311,2.6898,-0.1062,9.26E-03,50
0.08,-4.055,0.98,1.05495,-0.0046,0.2,0.3316,-0.2205,0.253,0.00907,-1.07694,-0.93394,-0.53802,1.22338,-0.01116,-0.01283,-0.0038,-8.40981,0.04806,0.25437,3.55972,0.619,0.494,0.792,0.439,0.3704,-1.4039,0.317,0.0226,-1.5757,-0.0522,10.7376,7.0278,2.3023,-0.0979,5.20E-03,50
0.09,-4.153,0.995,1.04722,-0.01241,0.2,0.3364,-0.2196,0.2516,0.00907,-1.05562,-0.9141,-0.57301,1.26404,-0.01134,-0.01295,-0.00386,-8.50144,0.08231,0.28736,3.16059,0.633,0.484,0.797,0.454,0.3919,-1.4133,0.342,0.0247,-1.6641,-0.0518,8.964,5.7517,2.0727,-0.089,2.70E-03,50
0.1,-4.255,1.009,1.04223,-0.02195,0.2,0.341,-0.2186,0.2502,0.00909,-1.04345,-0.90205,-0.60839,1.30526,-0.01136,-0.01302,-0.00392,-8.64726,0.16482,0.33118,2.88699,0.644,0.473,0.799,0.464,0.4112,-1.4345,0.364,0.0271,-1.7389,-0.0521,7.7885,4.9165,1.922,-0.0802,8.92E-04,50
0.12,-4.466,1.04,1.04509,-0.04223,0.2,0.3456,-0.2166,0.2477,0.00958,-1.03641,-0.89255,-0.67012,1.39284,-0.01126,-0.01301,-0.00399,-9.12232,0.44974,0.43811,2.5555,0.655,0.449,0.794,0.469,0.4435,-1.4892,0.4,0.0326,-1.8509,-0.054,6.434,3.9784,1.7502,-0.0643,0.00E+00,50
0.14,-4.677,1.07,1.05422,-0.06176,0.2,0.346,-0.2147,0.2452,0.01048,-1.04606,-0.89766,-0.72524,1.4777,-0.01094,-0.01286,-0.00403,-9.61238,0.8003,0.5508,2.37937,0.656,0.426,0.783,0.458,0.473,-1.5689,0.427,0.0386,-1.9218,-0.0571,5.797,3.5775,1.6693,-0.0515,1.39E-03,50
0.15,-4.781,1.085,1.06072,-0.0709,0.2,0.345,-0.2137,0.2441,0.01092,-1.05537,-0.90329,-0.74977,1.51881,-0.01075,-0.01275,-0.00405,-9.84559,0.97436,0.6013,2.32352,0.658,0.414,0.777,0.454,0.489,-1.6137,0.439,0.0418,-1.9451,-0.0589,5.6309,3.4832,1.6478,-0.0461,3.98E-03,50
